detector,chunk_id,static_acc,adaptive_acc,static_macro_f1,adaptive_macro_f1
EDDM,28,0.066,0.83,0.06395348837209303,0.7581065141041782
EDDM,29,0.068,0.79,0.04934687953555878,0.6275372735011542
EDDM,30,0.084,0.824,0.06542056074766354,0.6931532406751998
EDDM,31,0.08,0.818,0.0706090026478376,0.6750482012317559
EDDM,32,0.104,0.806,0.06451612903225806,0.5503110030853884
EDDM,33,0.096,0.836,0.07655502392344497,0.8005681011187444
EDDM,34,0.68,0.658,0.0923662048356425,0.09173288721594869
EDDM,35,0.654,0.616,0.08993399339933994,0.08808808808808809
EDDM,36,0.698,0.666,0.1053743961352657,0.10393258426966293
EDDM,37,0.708,0.67,0.14114832535885166,0.13854425144747726
EDDM,38,0.702,0.668,0.10483870967741936,0.10359801488833748
EDDM,39,0.66,0.624,0.0905349794238683,0.08900299529311083
EDDM,40,0.684,0.642,0.10351089588377724,0.1009433962264151
EDDM,41,0.706,0.666,0.10606971153846154,0.10367372353673723
EDDM,42,0.68,0.646,0.11861154718297576,0.11696541734564549
EDDM,43,0.678,0.638,0.11869747899159665,0.11566352429296592
EDDM,44,0.65,0.602,0.11650833482702994,0.11360634081902245
EDDM,45,0.694,0.644,0.10540704738760631,0.10189873417721519
EDDM,46,0.656,0.618,0.0911111111111111,0.08940972222222222
EDDM,47,0.664,0.83,0.1166754524688104,0.30885161704518094
EDDM,48,0.668,0.812,0.10195360195360195,0.37341606045090486
EDDM,49,0.658,0.824,0.10129310344827586,0.27586860743082153
EDDM,50,0.688,0.828,0.09232420826623726,0.23105548432218206
EDDM,51,0.712,0.848,0.12181351582549187,0.30448093575460594
EDDM,52,0.66,0.84,0.11554621848739496,0.31767877442754294
EDDM,53,0.68,0.844,0.10303030303030303,0.2765659616449737
EDDM,54,0.69,0.824,0.11890401516457005,0.29196552590205876
EDDM,55,0.678,0.816,0.10247883917775091,0.27363855005945104
EDDM,56,0.678,0.828,0.1174025974025974,0.2969583154577367
EDDM,57,0.642,0.806,0.10056390977443609,0.2591572504708098
EDDM,58,0.658,0.83,0.10141800246609124,0.2600877192982456
EDDM,59,0.7028112449799196,0.8393574297188755,0.14090177133655393,0.34320556264666263
